"Term","15","18","77","89","38","66","80","103","22","61","93","94","Total Occurances","TF","NI","IDF","tf*idf"
"russia",,,,,,,3,,23.9,14.4,25.6,8.9,75.8,0.0819636678200692,5,0.8754687373539,0.0717566287753305
"northKorea",,,,,11,15,22,23,,,,1,72,0.0778546712802768,5,0.8754687373539,0.0681593307628469
"southKorea",,,,,12,18,5,4,,,,,39,0.0421712802768166,4,1.09861228866811,0.0463298867409778
"borderWall",11.3,7.7,14,4.3,,,,,,,,,37.3,0.040333044982699,4,1.09861228866811,0.0443103788573967
"nkDenuclearization",,,,,10,10.7,8.7,7.9,,,,,37.3,0.040333044982699,4,1.09861228866811,0.0443103788573967
"kimJongun",,,,,,4,11,13,,,,,28,0.0302768166089965,3,1.38629436111989,0.041972580137713
"nkNuclearProgram",,,,,7,9.2,9.8,8.8,,,,,34.8,0.0376297577854671,4,1.09861228866811,0.0413405143227187
"borderSecurity",5.2,6.4,11.3,6.2,,,,,,,,,29.1,0.0314662629757786,4,1.09861228866811,0.0345692231836527
"usMilitary",,,,,1,16,,,,,,,17,0.0183823529411765,2,1.79175946922805,0.0329367549490451
"russianElectionInterference",,,,,,,,,9.4,13.7,1.5,2.5,27.1,0.0293036332179931,4,1.09861228866811,0.0321933315559102
"wallLegislation",6.5,10.5,6,3,,,,,,,,,26,0.0281141868512111,4,1.09861228866811,0.0308865911606519
"rexTillerson",,,,,14,3,2,,,,,,19,0.0205449826989619,3,1.38629436111989,0.0284813936648766
"putin",,,,,,,,,9,,2,7,18,0.0194636678200692,3,1.38629436111989,0.0269823729456726
"china",,,,,8,5,4,,,,,,17,0.0183823529411765,3,1.38629436111989,0.0254833522264686
"russiaGainInfluence",,,,,,,,,7.7,6.8,5.6,1.3,21.4,0.0231401384083045,4,1.09861228866811,0.0254220404168442
"britain",,,,,,,,,,,11,2,13,0.0140570934256055,2,1.79175946922805,0.0251869302551522
"diplomacy",,,,,6,3.3,6.3,5.6,,,,,21.2,0.022923875432526,4,1.09861228866811,0.02518445125407
"intelligenceAgencyInvestigation",,,,,,,,,8.5,3.5,0,0,12,0.0129757785467128,2,1.79175946922805,0.0232494740816789
"trumpProposesSummit",,,,,1,0,0,10.5,,,,,11.5,0.0124351211072664,2,1.79175946922805,0.0222807459949423
"usMilitaryAction",,,,,3,9.5,2,0,,,,,14.5,0.0156790657439446,3,1.38629436111989,0.0217358004284585
"russianSummit",,,,,,,,,0,0,0,8,8,0.00865051903114187,1,2.484906649788,0.0214957322646021
"poisoning",,,,,,,,,0,0,7.6,3.3,10.9,0.0117863321799308,2,1.79175946922805,0.0211182722908583
"collusionHoax",,,,,,,,,0,7.5,0,0,7.5,0.0081098615916955,1,2.484906649788,0.0201522489980645
"russianhacking",,,,,,,,,9.8,3.8,1,1,15.6,0.0168685121107266,4,1.09861228866811,0.0185319546963911
"russianRelations",,,,,,,,,3,0,0,6.5,9.5,0.010272491349481,2,1.79175946922805,0.0184058336479958
"wallCost",6,4,4,1,,,,,,,,,15,0.016219723183391,4,1.09861228866811,0.0178191872080684
"usAllies",,,,,,2,,,2,,7,,11,0.0118944636678201,3,1.38629436111989,0.0164892279112444
"nuclearWeapons",,,,,,6,,,,,,,6,0.0064878892733564,1,2.484906649788,0.0161217991984516
"investigationReport",,,,,,,,,5,3,0,0,8,0.00865051903114187,2,1.79175946922805,0.0154996493877859
"mexico",5,4,1,3,,,,,,,,,13,0.0140570934256055,4,1.09861228866811,0.0154432955803259
"usMedia",,2,4,,,,,,,5,2,3,16,0.0173010380622837,5,0.8754687373539,0.0151465179472993
"nkAllies",,,,,4,2.5,3.5,0,,,,,10,0.0108131487889273,3,1.38629436111989,0.0149902071920403
"nerveAgent",,,,,,,,,,,4,3,7,0.00756920415224914,2,1.79175946922805,0.0135621932143127
"accusersOfRussianInfluence",,,,,,,,,5,,,,5,0.00540657439446367,1,2.484906649788,0.0134348326653763
"alliedExpulsions",,,,,,,,,0,0,5,0,5,0.00540657439446367,1,2.484906649788,0.0134348326653763
"nkDeception",,,,,0,0,0,5,,,,,5,0.00540657439446367,1,2.484906649788,0.0134348326653763
"expulsions",,,,,,,,,0,0,5.5,1,6.5,0.00702854671280277,2,1.79175946922805,0.0125934651275761
"tillersonWarnsNk",,,,,4,3,1,0,,,,,8,0.00865051903114187,3,1.38629436111989,0.0119921657536323
"immigrationDaca",2,1,5,2,,,,,,,,,10,0.0108131487889273,4,1.09861228866811,0.0118794581387123
"usIntelligence",,,,,1,1,,,7,1,,,10,0.0108131487889273,4,1.09861228866811,0.0118794581387123
"mexicoPaysForWall",4,2,0,0,,,,,,,,,6,0.0064878892733564,2,1.79175946922805,0.0116247370408395
"nkMilitaryPreparedness",,,,,4,2,0,0,,,,,6,0.0064878892733564,2,1.79175946922805,0.0116247370408395
"usLaw",,1,,5,,,,,,,,,6,0.0064878892733564,2,1.79175946922805,0.0116247370408395
"facebook",,,,,,,,,0,4,0,0,4,0.00432525951557093,1,2.484906649788,0.010747866132301
"skMissileDefense",,,,,4,0,0,0,,,,,4,0.00432525951557093,1,2.484906649788,0.010747866132301
"sovietUnion",,,,,,4,,,,,,,4,0.00432525951557093,1,2.484906649788,0.010747866132301
"summitTopics",,,,,,,,,0,0,0,4,4,0.00432525951557093,1,2.484906649788,0.010747866132301
"homelandSecurity",0,0.5,3,3.5,,,,,,,,,7,0.00756920415224914,3,1.38629436111989,0.0104931450344282
"fakeNews",,,,,,,,,1,4,0,0,5,0.00540657439446367,2,1.79175946922805,0.00968728086736621
"russianDiplomats",,,,,,,,,,,4,1,5,0.00540657439446367,2,1.79175946922805,0.00968728086736621
"usExpulsions",,,,,,,,,0,0,4,1,5,0.00540657439446367,2,1.79175946922805,0.00968728086736621
"nkSanctions",,,,,1,2,3,0,,,,,6,0.0064878892733564,3,1.38629436111989,0.0089941243152242
"wallOpponents",3,1,2,1,,,,,,,,,7,0.00756920415224914,4,1.09861228866811,0.00831562069709858
"Environmental groups",,,,3,,,,,,,,,3,0.0032439446366782,1,2.484906649788,0.00806089959922578
"borderSecurityLoopholes",,,3,,,,,,,,,,3,0.0032439446366782,1,2.484906649788,0.00806089959922578
"infrastructureImprovement",3,,,,,,,,,,,,3,0.0032439446366782,1,2.484906649788,0.00806089959922578
"slantedMedia",,,,,,,,,0,3,0,0,3,0.0032439446366782,1,2.484906649788,0.00806089959922578
"increasedNkStatus",,,,,0,1,0,3,,,,,4,0.00432525951557093,2,1.79175946922805,0.00774982469389297
"landowners",,1,,3,,,,,,,,,4,0.00432525951557093,2,1.79175946922805,0.00774982469389297
"japan",,,,,,2,2,1,,,,,5,0.00540657439446367,3,1.38629436111989,0.00749510359602017
"usRetaliation",,,,,,,,,1,0,3.3,0.5,4.8,0.00519031141868512,3,1.38629436111989,0.00719529945217936
"presidentObama",,,,,1,3,,,1,,,1,6,0.0064878892733564,4,1.09861228866811,0.00712767488322736
"skDefense",,,,,3,0.5,0,0,,,,,3.5,0.00378460207612457,2,1.79175946922805,0.00678109660715635
"uscbp",0,1,2,1,,,,,,,,,4,0.00432525951557093,3,1.38629436111989,0.00599608287681614
"deportationPlan",0.5,0.5,3.5,0.5,,,,,,,,,5,0.00540657439446367,4,1.09861228866811,0.00593972906935613
"2006SecureFenceAct",1,2,0,0,,,,,,,,,3,0.0032439446366782,2,1.79175946922805,0.00581236852041973
"TrumpWarnsNk",,,,,1,0,2,0,,,,,3,0.0032439446366782,2,1.79175946922805,0.00581236852041973
"landUse",0,1,0,2,,,,,,,,,3,0.0032439446366782,2,1.79175946922805,0.00581236852041973
"russiaSanctions",,,,,,,,,2,0,1,0,3,0.0032439446366782,2,1.79175946922805,0.00581236852041973
"russianSpies",,,,,,,,,,,2,1,3,0.0032439446366782,2,1.79175946922805,0.00581236852041973
"skTroops",,,,,2,1,0,0,,,,,3,0.0032439446366782,2,1.79175946922805,0.00581236852041973
"usBorderStates",1,0,2,0,,,,,,,,,3,0.0032439446366782,2,1.79175946922805,0.00581236852041973
"wallSupporters",1,2,0,0,,,,,,,,,3,0.0032439446366782,2,1.79175946922805,0.00581236852041973
"Cold War",,,,,,2,,,,,,,2,0.00216262975778547,1,2.484906649788,0.00537393306615052
"arms race",,,,,,,,,,,,2,2,0.00216262975778547,1,2.484906649788,0.00537393306615052
"britishExpulsions",,,,,,,,,0,0,2,0,2,0.00216262975778547,1,2.484906649788,0.00537393306615052
"civil liberties",,,,2,,,,,,,,,2,0.00216262975778547,1,2.484906649788,0.00537393306615052
"cyberattack",,,,,0,2,0,0,,,,,2,0.00216262975778547,1,2.484906649788,0.00537393306615052
"preventativeWarOpponents",,,,,0,2,0,0,,,,,2,0.00216262975778547,1,2.484906649788,0.00537393306615052
"reducedUsAsianInfluence",,,,,0,0,2,0,,,,,2,0.00216262975778547,1,2.484906649788,0.00537393306615052
"nkObjectives",,,,,0,0.5,1,1.5,,,,,3,0.0032439446366782,3,1.38629436111989,0.0044970621576121
"consulate",,,,,,,,,,,1,1,2,0.00216262975778547,2,1.79175946922805,0.00387491234694649
"purchasePrivateProperty",0,1,0,1,,,,,,,,,2,0.00216262975778547,2,1.79175946922805,0.00387491234694649
"tillersonVisitsSk",,,,,1,1,0,0,,,,,2,0.00216262975778547,2,1.79175946922805,0.00387491234694649
"skAllies",,,,,0,1,1,0.5,,,,,2.5,0.00270328719723183,3,1.38629436111989,0.00374755179801009
